Filename,Paths
addinutil.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddinUtil.exe
addinutil.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\AddinUtil.exe
addinutil.exe,C:\Windows\Microsoft.NET\Framework\v3.5\AddInUtil.exe
addinutil.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\AddInUtil.exe
appinstaller.exe,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.11.2521.0_x64__8wekyb3d8bbwe\AppInstaller.exe
aspnet_compiler.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_compiler.exe
aspnet_compiler.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_compiler.exe
at.exe,C:\WINDOWS\System32\At.exe
at.exe,C:\WINDOWS\SysWOW64\At.exe
atbroker.exe,C:\Windows\System32\Atbroker.exe
atbroker.exe,C:\Windows\SysWOW64\Atbroker.exe
bash.exe,C:\Windows\System32\bash.exe
bash.exe,C:\Windows\SysWOW64\bash.exe
bitsadmin.exe,C:\Windows\System32\bitsadmin.exe
bitsadmin.exe,C:\Windows\SysWOW64\bitsadmin.exe
certoc.exe,C:\windows\system32\certoc.exe
certoc.exe,C:\windows\syswow64\certoc.exe
certreq.exe,C:\Windows\System32\certreq.exe
certreq.exe,C:\Windows\SysWOW64\certreq.exe
certutil.exe,C:\Windows\System32\certutil.exe
certutil.exe,C:\Windows\SysWOW64\certutil.exe
cipher.exe,C:\windows\system32\cipher.exe
cipher.exe,C:\windows\syswow64\cipher.exe
cmd.exe,C:\Windows\System32\cmd.exe
cmd.exe,C:\Windows\SysWOW64\cmd.exe
cmdkey.exe,C:\Windows\System32\cmdkey.exe
cmdkey.exe,C:\Windows\SysWOW64\cmdkey.exe
cmdl32.exe,C:\Windows\System32\cmdl32.exe
cmdl32.exe,C:\Windows\SysWOW64\cmdl32.exe
cmstp.exe,C:\Windows\System32\cmstp.exe
cmstp.exe,C:\Windows\SysWOW64\cmstp.exe
colorcpl.exe,C:\Windows\System32\colorcpl.exe
colorcpl.exe,C:\Windows\SysWOW64\colorcpl.exe
computerdefaults.exe,C:\Windows\System32\ComputerDefaults.exe
computerdefaults.exe,C:\Windows\SysWOW64\ComputerDefaults.exe
configsecuritypolicy.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.9-0\ConfigSecurityPolicy.exe
configsecuritypolicy.exe,C:\Program Files\Windows Defender\ConfigSecurityPolicy.exe
configsecuritypolicy.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\.*\ConfigSecurityPolicy.exe
conhost.exe,C:\windows\system32\conhost.exe
control.exe,C:\Windows\System32\control.exe
control.exe,C:\Windows\SysWOW64\control.exe
csc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Csc.exe
csc.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Csc.exe
csc.exe,C:\Windows\Microsoft.NET\Framework\v3.5\csc.exe
csc.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\csc.exe
csc.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\csc.exe
csc.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe
cscript.exe,C:\Windows\System32\cscript.exe
cscript.exe,C:\Windows\SysWOW64\cscript.exe
customshellhost.exe,C:\Windows\System32\CustomShellHost.exe
datasvcutil.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\DataSvcUtil.exe
